Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
Swansea City,48.0,7,16,650,406,23,60,4,2,2,2012,0,1
Norwich City,37.7,4,11,547,354,11,41,0,3,1,2012,1,1
Manchester United,62.3,6,14,776,581,17,30,12,1,0,2012,0,0
Queens Park Rangers,46.8,5,12,651,406,32,40,4,1,1,2012,1,0
Southampton,53.2,10,20,711,467,28,27,13,1,3,2012,0,1
Reading,39.6,3,14,448,247,14,33,7,2,2,2012,1,1
Everton,60.4,7,21,619,402,14,36,13,4,1,2012,0,0
West Bromwich Albion,35.3,5,9,521,342,23,41,0,2,2,2012,1,1
Chelsea,64.7,7,19,811,608,13,18,12,1,1,2012,0,0
Fulham,49.3,7,20,661,480,15,32,4,4,1,2012,1,0
Sunderland,50.7,6,11,678,499,12,27,4,2,3,2012,0,1
West Ham United,58.0,5,15,669,430,14,46,12,1,1,2012,1,2
Stoke City,42.0,2,8,541,327,16,66,4,3,1,2012,0,2
Aston Villa,37.4,4,9,538,346,15,20,7,3,0,2012,1,2
Arsenal,62.6,1,12,804,596,19,27,6,3,0,2012,0,2
Everton,57.9,7,14,613,443,10,34,4,3,1,2012,1,2
Norwich City,42.1,4,9,483,312,13,32,2,9,1,2012,0,2
Manchester United,62.5,7,17,832,651,22,18,9,2,3,2012,1,1
Queens Park Rangers,37.5,3,11,588,386,22,31,7,2,1,2012,0,0
Stoke City,40.3,2,16,539,323,19,38,7,2,1,2012,1,1
Fulham,59.7,2,9,710,489,17,47,2,2,0,2012,0,0
Sunderland,49.0,10,20,622,428,17,16,7,2,2,2012,1,0
West Bromwich Albion,51.0,6,14,652,469,20,32,2,1,4,2012,0,1
Wigan Athletic,66.7,9,18,718,484,20,36,9,5,3,2012,1,1
Reading,33.3,5,17,452,226,15,42,5,1,2,2012,0,0
Chelsea,42.3,1,6,617,381,24,42,6,3,0,2012,1,2
Manchester City,57.7,5,9,731,519,31,34,11,1,0,2012,0,2
Southampton,49.1,8,18,582,339,31,49,4,2,2,2012,1,1
Newcastle United,50.9,3,8,596,332,28,42,3,6,0,2012,0,0
Swansea City,49.5,2,18,759,522,29,32,7,0,0,2012,1,2
Liverpool,50.5,9,21,750,533,15,23,6,3,0,2012,0,2
Tottenham Hotspur,59.4,9,28,670,453,10,42,4,1,3,2012,1,1
West Ham United,40.6,4,12,484,306,17,27,2,2,1,2012,0,0
Aston Villa,55.2,5,16,641,372,22,71,8,2,1,2012,1,1
Reading,44.8,3,12,556,292,11,63,3,3,0,2012,0,0
Sunderland,50.2,4,14,664,444,21,25,5,3,0,2012,1,2
Queens Park Rangers,49.8,5,15,642,430,23,26,8,1,0,2012,0,2
Chelsea,59.7,3,17,773,582,14,8,10,4,0,2012,1,2
Fulham,40.3,4,9,623,405,26,55,2,2,0,2012,0,2
Everton,42.6,9,14,610,383,30,30,6,6,1,2012,1,2
Arsenal,57.4,3,11,774,526,23,38,6,0,1,2012,0,2
Manchester United,66.1,7,22,847,646,12,53,5,2,1,2012,1,1
West Ham United,33.9,1,10,501,305,14,32,5,1,0,2012,0,0
Southampton,57.8,2,10,721,498,26,30,3,2,1,2012,1,2
Norwich City,42.2,5,11,575,361,17,34,6,3,1,2012,0,2
Stoke City,52.2,5,13,605,366,24,30,7,3,2,2012,1,1
Newcastle United,47.8,6,9,586,344,25,62,2,0,1,2012,0,0
Swansea City,64.7,4,13,869,679,16,32,5,6,3,2012,1,1
West Bromwich Albion,35.3,1,6,521,366,21,22,2,2,1,2012,0,0
Tottenham Hotspur,35.0,7,16,538,307,37,55,1,0,2,2012,1,1
Liverpool,65.0,5,17,765,556,18,13,12,1,1,2012,0,0
Wigan Athletic,45.6,1,9,593,411,20,18,6,1,0,2012,1,0
Manchester City,54.4,6,17,682,502,21,25,6,1,2,2012,0,1
Arsenal,52.5,5,10,780,608,14,14,8,0,0,2012,1,0
Swansea City,47.5,7,14,725,561,22,22,5,6,2,2012,0,1
Fulham,45.8,2,8,641,459,20,14,2,2,0,2012,1,0
Tottenham Hotspur,54.2,6,10,755,553,22,46,1,2,3,2012,0,1
Liverpool,63.9,8,23,774,555,19,20,10,3,1,2012,1,1
Southampton,36.1,1,9,544,302,34,37,4,0,0,2012,0,0
Manchester City,59.2,4,10,740,546,15,31,5,1,1,2012,1,2
Everton,40.8,4,9,552,380,12,34,2,0,1,2012,0,2
Queens Park Rangers,54.5,8,17,682,447,20,38,11,9,1,2012,1,2
Aston Villa,45.5,2,7,606,389,21,47,4,4,1,2012,0,2
Reading,41.7,7,12,584,397,19,16,6,0,3,2012,1,0
Manchester United,58.3,6,11,778,586,19,41,1,2,4,2012,0,1
West Bromwich Albion,57.2,5,15,659,452,17,36,5,4,0,2012,1,0
Stoke City,42.8,2,5,537,333,22,34,5,2,1,2012,0,1
West Ham United,42.2,9,16,562,338,23,43,14,3,3,2012,1,1
Chelsea,57.8,7,15,690,494,15,38,5,3,1,2012,0,0
Norwich City,49.6,3,8,620,441,14,39,2,3,2,2012,1,1
Sunderland,50.4,5,16,633,440,15,24,6,4,1,2012,0,0
Newcastle United,50.2,8,18,643,471,16,28,4,2,3,2012,1,1
Wigan Athletic,49.8,1,10,631,457,17,15,4,1,0,2012,0,0
Arsenal,59.0,3,19,701,494,24,17,7,6,2,2012,1,1
West Bromwich Albion,41.0,1,8,524,331,21,30,4,5,0,2012,0,0
Aston Villa,56.3,2,13,670,460,20,53,3,3,0,2012,1,2
Stoke City,43.7,0,2,547,351,12,31,2,3,0,2012,0,2
Southampton,65.1,5,18,686,465,22,31,7,2,1,2012,1,1
Reading,34.9,2,6,446,231,15,41,4,4,0,2012,0,0
Sunderland,45.3,5,12,549,352,19,25,11,0,1,2012,1,0
Chelsea,54.7,5,14,668,456,26,45,1,2,3,2012,0,1
Swansea City,66.8,5,20,840,661,11,33,6,1,3,2012,1,0
Norwich City,33.2,7,9,493,320,18,26,2,1,4,2012,0,1
Wigan Athletic,56.7,8,15,641,409,31,18,11,4,2,2012,1,2
Queens Park Rangers,43.3,4,8,542,323,25,40,4,3,2,2012,0,2
